Airport Code,Latitude,Longitude
ATL,33.6407,-84.4277
BOS,42.3656,-71.0096
CVG,39.0469,-84.6622
DTW,42.2162,-83.3554
JFK,40.6413,-73.7781
LAX,33.9416,-118.4085
MCO,28.4294,-81.3089
MSP,44.8848,-93.2223
PDX,45.5898,-122.5951
RDU,35.8801,-78.7879
SEA,47.4502,-122.3088
SLC,40.7899,-111.9791
AMS,52.3105,4.7683
ATH,37.9356,23.9484
BCN,41.2974,2.0833
CDG,49.0097,2.5479
CPT,33.9715,18.6021
DUB,53.4213,-6.2701
DUS,51.2895,6.7668
FCO,41.8003,12.2389
FRA,50.0379,8.5622
JNB,26.1392,28.246
LHR,51.47,-0.4543
LOS,6.5774,3.3212
MAD,40.4983,-3.5676
MUC,48.3538,11.7861
MXP,45.6301,8.7281
STR,48.6907,9.1936
TLV,32.0055,34.8854
VCE,45.5053,12.3519
EDI,55.95,-3.3725
LIS,38.7756,-9.1354
ACC,5.6052,-0.1668
ARN,59.6519,17.9186
BER,52.3667,13.5033
BRU,50.9014,4.4844
CPH,55.618,12.6508
DSS,14.6708,-17.0733
GVA,46.238,6.109
LGW,51.1537,-0.1821
NCE,43.6584,7.2159
ZRH,47.4582,8.5555
